Player,Inns,Highest_Inns_Score,Batting_Strike_Rate,Hundreds,Fifties,Ducks,Country,Start_Career,Retire_Career
DG Bradman,80,334,58.6,29,13,7,AUS,1928,1948
HC Brook,20,186,91.76,4,7,1,ENG,2022,2023
AC Voges,31,269,55.68,5,4,2,AUS,2015,2016
RG Pollock,41,274,54.48,7,11,1,SA,1963,1970
GA Headley,40,270,56.0,10,5,2,WI,1930,1954
H Sutcliffe,84,194,34.59,16,23,2,ENG,1924,1935
E Paynter,31,243,45.88,4,7,3,ENG,1931,1939
KF Barrington,131,256,42.42,20,35,5,ENG,1955,1968
ED Weekes,81,207,49.9,15,19,6,WI,1948,1958
WR Hammond,140,336,38.07,22,24,4,ENG,1927,1947
GS Sobers,160,365,53.58,26,30,12,WI,1954,1974
KC Sangakkara,233,319,54.19,38,52,11,SL,2000,2015
SPD Smith,195,239,53.5,32,41,10,AUS,2010,2024
JB Hobbs,102,211,46.22,15,28,4,ENG,1908,1930
CL Walcott,74,220,49.9,15,14,1,WI,1948,1960
L Hutton,138,364,39.34,19,33,5,ENG,1937,1955
JH Kallis,280,224,45.97,45,58,16,ICC/SA,1995,2013
GE Tyldesley,20,122,29.21,3,6,2,ENG,1921,1929
KS Williamson,176,251,51.41,32,34,11,NZ,2010,2024
CA Davis,29,183,35.48,4,4,1,WI,1968,1973
VG Kambli,21,227,59.46,4,3,3,IND,1993,1995
GS Chappell,151,247,51.53,24,31,12,AUS,1970,1984
AD Nourse,62,231,63.88,9,14,3,SA,1935,1951
SR Tendulkar,329,248,54.04,51,68,14,IND,1989,2013
BC Lara,232,400,60.51,34,48,17,ICC/WI,1990,2006
Javed Miandad,189,280,45.99,23,43,6,PAK,1976,1993
R Dravid,286,270,42.51,36,63,8,ICC/IND,1996,2012
Mohammad Yousuf,156,223,52.39,24,33,11,PAK,1998,2010
Younis Khan,213,313,52.12,34,33,19,PAK,2000,2017
RT Ponting,287,257,58.72,41,62,17,AUS,1995,2012
J Ryder,32,201,44.86,3,9,1,AUS,1920,1929
A Flower,112,232,45.07,12,27,5,ZIM,1992,2002
MEK Hussey,137,195,50.13,19,29,12,AUS,2005,2013
S Chanderpaul,280,203,43.31,30,66,15,WI,1994,2015
SM Gavaskar,214,236,43.35,34,45,12,IND,1971,1987
SR Waugh,260,200,48.64,32,50,22,AUS,1985,2004
ML Hayden,184,380,60.1,30,29,14,AUS,1994,2009
AB de Villiers,191,278,54.51,22,46,8,SA,2004,2018
AR Border,265,205,41.09,27,63,11,AUS,1978,1994
DJ Mitchell,37,190,53.35,5,10,1,NZ,2019,2024
IVA Richards,182,291,69.77,24,45,10,WI,1974,1991
DCS Compton,131,278,38.81,17,28,10,ENG,1937,1957
DPMD Jayawardene,252,374,51.45,34,50,15,SL,1997,2014
JE Root,257,254,56.52,31,61,12,ENG,2012,2024
Inzamam-ul-Haq,200,329,54.02,25,46,15,ICC/PAK,1992,2007
M Labuschagne,90,215,52.68,11,20,4,AUS,2018,2024
FMM Worrell,87,261,40.16,9,22,11,WI,1948,1963
CP Mead,26,182,30.04,4,3,3,ENG,1911,1928
V Sehwag,180,319,82.23,23,32,16,ICC/IND,2001,2013
Abid Ali,26,215,48.26,4,3,2,PAK,2019,2021
V Kohli,191,254,55.56,29,30,14,IND,2011,2024
MJ Clarke,198,329,55.92,28,27,9,AUS,2004,2015
KC Bland,39,144,37.74,3,9,2,SA,1961,1966
B Mitchell,80,189,29.11,8,21,3,SA,1929,1949
Hon.FS Jackson,33,144,49.9,5,6,3,ENG,1893,1905
TT Samaraweera,132,231,46.92,14,30,11,SL,2001,2013
RN Harvey,137,205,43.74,21,24,7,AUS,1948,1963
KD Walters,125,250,49.16,15,33,4,AUS,1965,1981
GC Smith,205,277,59.67,27,38,11,ICC/SA,2002,2014
WH Ponsford,48,266,44.77,7,6,1,AUS,1924,1934
SJ McCabe,62,232,60.02,6,13,4,AUS,1930,1938
DR Jardine,33,127,25.59,1,10,2,ENG,1928,1934
